height,weight,age,isManOfTheMatch,isActive,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonName,isOpta,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking,originCountry
194,85,34,False,True,Spain,35,0,1,1,0,0.4,3.685714285714285,Gerard Piqué,Gerard,Piqué,12712,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,7.033142857142858,3096,15,0,91.7568071615069,25,Spain
176,77,29,False,True,Spain,32,2,1,4,5,0.7187500000000001,0.875,Koke,Jorge,Resurrección,80764,Midfielder,63,Atletico,2019/2020,True,Spain,LaLiga,7.0178125,2699,5,0,85.21897810218978,26,Spain
182,74,32,False,False,Spain,35,0,6,8,3,0.9714285714285711,0.48571428571428504,Daniel Parejo,Daniel,Parejo,28186,Midfielder,55,Valencia,2019/2020,True,Spain,LaLiga,7.013999999999998,3030,4,1,86.30686886708297,27,Spain
172,66,35,False,True,Spain,31,9,4,3,7,0.9677419354838711,0.35483870967741904,Luka Modric,Luka,Modric,20874,Midfielder,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.005806451612903,1998,7,1,88.55291576673866,28,Croatia
180,73,25,False,True,Spain,25,6,0,1,2,0.28,1.04,Ferland Mendy,Ferland,Mendy,296337,Defender,52,Real Madrid,2019/2020,True,Spain,LaLiga,7.005599999999999,1806,6,1,87.90882061446978,29,France
179,70,27,False,True,Spain,37,2,1,2,7,1.189189189189189,1.162162162162162,José Campaña,José,Campaña,91214,Midfielder,832,Levante,2019/2020,True,Spain,LaLiga,6.995405405405405,3160,2,1,81.4454126089185,30,Spain
182,78,26,False,True,Spain,32,0,1,0,0,0.375,3.4375,Yeray Álvarez,Yeray,Álvarez,279839,Defender,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.993125000000001,2811,2,0,78.33787465940054,31,Spain
178,71,30,False,True,Spain,25,2,0,0,4,0.12,1.08,Kieran Trippier,Kieran,Trippier,83078,Defender,63,Atletico,2019/2020,True,Spain,LaLiga,6.992399999999998,1981,2,0,76.7268862911796,32,England
176,67,33,False,True,Spain,37,0,2,14,3,2.27027027027027,0.8108108108108101,Iago Aspas,Iago,Aspas,91242,Forward,62,Celta Vigo,2019/2020,True,Spain,LaLiga,6.987297297297297,3268,9,0,77.02060221870047,33,Spain
191,81,28,False,True,Spain,32,0,1,2,1,0.34375000000000006,2.53125,Raphael Varane,Raphael,Varane,93206,Defender,52,Real Madrid,2019/2020,True,Spain,LaLiga,6.983749999999998,2823,2,0,87.30538922155688,34,France
182,78,29,False,True,Spain,36,0,2,0,0,0.0,0.36111111111111105,Aitor Fernández,Aitor,Fernández,91194,Goalkeeper,832,Levante,2019/2020,True,Spain,LaLiga,6.972222222222222,3240,2,0,61.51315789473685,35,Spain
176,73,30,False,True,Spain,35,4,1,9,4,1.5714285714285712,0.8571428571428571,Antoine Griezmann,Antoine,Griezmann,80241,Forward,65,Barcelona,2019/2020,True,Spain,LaLiga,6.971714285714288,2562,2,0,81.82632050134289,36,France
190,83,31,False,True,Spain,25,2,1,1,0,0.76,3.8,Felipe,Felipe Augusto,de Almeida Monteiro,102173,Defender,63,Atletico,2019/2020,True,Spain,LaLiga,6.969599999999999,2099,7,0,76.76438653637351,37,Brazil
183,76,33,False,True,Spain,34,4,1,2,3,0.44117647058823506,2.235294117647059,Fernando,Fernando Francisco,Reges,31958,Midfielder,67,Sevilla,2019/2020,True,Spain,LaLiga,6.964411764705882,2658,13,0,87.60383386581469,38,Brazil
184,78,23,False,True,Spain,30,2,1,2,3,1.133333333333333,2.666666666666666,Yangel Herrera,Yangel,Herrera,318505,Midfielder,925,Granada,2019/2020,True,Spain,LaLiga,6.9510000000000005,2376,14,0,75.21834061135371,39,Venezuela
175,69,25,False,True,Spain,21,7,3,5,2,2.1428571428571432,1.142857142857142,Munir El Haddadi,Munir,El Haddadi,143158,Forward,67,Sevilla,2019/2020,True,Spain,LaLiga,6.948095238095239,1256,1,0,78.97196261682244,40,Spain
184,74,26,False,True,Spain,34,7,2,2,2,0.8529411764705881,1.0,Joan Jordán,Joan,Jordán,238941,Midfielder,67,Sevilla,2019/2020,True,Spain,LaLiga,6.941764705882354,2267,8,0,87.28149487643158,41,Spain
181,79,31,False,True,Spain,33,1,1,2,1,1.06060606060606,1.636363636363636,Yuri Berchiche,Yuri,Berchiche,56057,Defender,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.938787878787878,2853,7,0,81.76149649259547,42,Spain
190,75,29,False,False,Spain,35,2,3,13,2,1.6,4.685714285714286,Ante Budimir,Ante,Budimir,98126,Forward,51,Mallorca,2019/2020,True,Spain,LaLiga,6.917142857142857,2782,12,0,64.01384083044984,43,Croatia
170,64,35,False,False,Spain,29,1,2,8,7,1.448275862068965,0.5862068965517241,Fabián Orellana,Fabián,Orellana,25714,Midfielder,824,Eibar,2019/2020,True,Spain,LaLiga,6.909655172413793,2398,9,1,76.92307692307693,44,Chile
175,73,23,False,False,Spain,36,4,4,1,5,0.527777777777777,1.222222222222222,Pervis Estupiñán,Pervis,Estupiñán,298694,Defender,131,Osasuna,2019/2020,True,Spain,LaLiga,6.905555555555556,2978,9,0,74.58952306489445,45,Ecuador
185,79,28,False,True,Spain,35,0,1,2,0,0.6000000000000001,2.771428571428571,Diego Carlos,Diego Carlos,Santos Silva,134984,Defender,67,Sevilla,2019/2020,True,Spain,LaLiga,6.90457142857143,3135,7,0,84.1745531019979,46,Brazil
170,68,28,False,True,Spain,36,16,2,7,5,2.0,0.611111111111111,Darwin Machís,Darwin,Machís,107567,Forward,925,Granada,2019/2020,True,Spain,LaLiga,6.900555555555555,2130,5,0,72.41379310344827,47,Venezuela
182,76,29,False,True,Spain,33,0,0,1,1,0.818181818181818,3.606060606060606,Íñigo Martínez,Íñigo,Martínez,106885,Defender,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.90030303030303,2970,10,0,77.94701986754967,48,Spain
184,70,30,False,True,Spain,30,1,2,3,1,0.766666666666666,3.4,Marc Bartra,Marc,Bartra,83686,Defender,54,Real Betis,2019/2020,True,Spain,LaLiga,6.895999999999999,2527,8,0,85.27827648114902,49,Spain
186,81,25,False,True,Spain,28,0,0,2,1,0.35714285714285704,2.285714285714285,Clément Lenglet,Clément,Lenglet,236511,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,6.895714285714286,2428,7,2,92.33644859813084,50,France
171,72,27,False,True,Spain,30,5,2,8,2,1.866666666666666,0.9,Rubén García,Rubén,García,119189,Midfielder,131,Osasuna,2019/2020,True,Spain,LaLiga,6.8953333333333315,2197,6,0,75.37399309551208,51,Spain
182,74,31,False,True,Spain,28,1,2,1,1,0.8571428571428571,1.8214285714285712,Cote,José Ángel,Valdés Díaz,70216,Defender,824,Eibar,2019/2020,True,Spain,LaLiga,6.892857142857143,2362,4,0,69.95121951219512,52,Spain
179,75,39,False,True,Spain,34,9,2,8,3,1.0,0.529411764705882,Joaquín,Joaquín,Sánchez Rodríguez,3283,Midfielder,54,Real Betis,2019/2020,True,Spain,LaLiga,6.889117647058823,2071,4,0,84.06488549618321,53,Spain
190,84,28,False,False,Spain,34,9,4,12,2,2.029411764705882,3.852941176470588,Álvaro Morata,Álvaro,Morata,91213,Forward,63,Atletico,2019/2020,True,Spain,LaLiga,6.882941176470587,2105,4,1,64.38631790744466,54,Spain
172,60,35,False,True,Spain,38,1,2,0,7,0.28947368421052605,0.47368421052631504,Jesús Navas,Jesús,Navas,9446,Defender,67,Sevilla,2019/2020,True,Spain,LaLiga,6.882368421052632,3371,4,0,80.23598820058997,55,Spain
176,65,30,False,True,Spain,36,0,2,6,6,1.444444444444444,0.16666666666666602,Sergio Canales,Sergio,Canales,44189,Midfielder,54,Real Betis,2019/2020,True,Spain,LaLiga,6.878055555555554,3167,5,0,88.39458413926499,56,Spain
175,75,29,False,True,Spain,35,3,2,3,4,0.457142857142857,1.2857142857142851,Ander Capa,Ander,Capa,130377,Defender,53,Athletic Bilbao,2019/2020,True,Spain,LaLiga,6.876,2875,10,0,75.13089005235602,57,Spain
170,68,32,False,True,Spain,27,2,0,2,5,0.259259259259259,0.22222222222222202,Jordi Alba,Jordi,Alba,44288,Defender,65,Barcelona,2019/2020,True,Spain,LaLiga,6.874814814814815,2190,7,0,88.62683438155136,58,Spain
178,70,22,False,True,Spain,29,4,0,1,1,0.7931034482758621,3.241379310344827,Jules Koundé,Jules,Koundé,301019,Defender,67,Sevilla,2019/2020,True,Spain,LaLiga,6.870000000000001,2307,6,0,85.91160220994475,59,France
182,76,30,False,True,Spain,28,6,4,4,4,2.1428571428571432,0.75,Rubén Rochina,Rubén,Rochina,91273,Midfielder,832,Levante,2019/2020,True,Spain,LaLiga,6.864285714285714,1887,5,0,76.08200455580865,60,Spain
176,73,22,False,False,Spain,22,5,2,5,1,2.045454545454545,2.590909090909091,Cucho Hernández,Juan Camilo,Hernández Suárez,362501,Forward,51,Mallorca,2019/2020,True,Spain,LaLiga,6.863636363636362,1494,3,1,68.18181818181817,61,Colombia
184,71,32,False,True,Spain,36,3,2,1,5,0.44444444444444403,1.8611111111111112,Víctor Díaz,Víctor,Díaz,34525,Defender,925,Granada,2019/2020,True,Spain,LaLiga,6.859444444444446,2887,4,0,67.08520179372198,62,Spain
188,86,30,False,True,Spain,35,11,2,6,1,1.6285714285714281,4.228571428571429,Luuk de Jong,Luuk,de Jong,68585,Forward,67,Sevilla,2019/2020,True,Spain,LaLiga,6.856857142857143,2063,2,0,69.31818181818183,63,Netherlands
